id,spot_name,latitude,longitude,continent,country,region,area,type,category,has_spots_flag,surfline_www_url,surfline_travel_url,original_depth,original_enumerated_path,lies_in_1,lies_in_2,lies_in_3
58f7f22ddadb30820bb9541b,"El Paso",-12.339,-76.829,"South America","Peru","Lima region","Lima",spot,surfline,false,https://www.surfline.com/surf-report/el-paso/584204204e65fad6a770905d,,3,"","58f7eef5dadb30820bb55cf9","58f7eef5dadb30820bb55d13",""
58f80a15dadb30820bd0990f,"Hargen",52.715136,4.635194,"Europe","Netherlands","North Holland","Gemeente Schagen",spot,surfline,false,https://www.surfline.com/surf-report/hargen/584204204e65fad6a77095e6,,3,"","58f80a13dadb30820bd09754","58f80a0fdadb30820bd09258",""
58f7f15fdadb30820bb823be,"Ponta de Bororo",-20.614518,-40.415382,"South America","Brazil","Espírito Santo","Guarapari",spot,surfline,false,https://www.surfline.com/surf-report/ponta-de-bororo/5842041f4e65fad6a7708f3e,,3,"","58f7f0c6dadb30820bb76c47","58f7f0c5dadb30820bb76a9a",""
58f7f166dadb30820bb82a3c,"CEPER",-12.952041,-38.34324,"South America","Brazil","Bahia","Lauro de Freitas",spot,surfline,false,https://www.surfline.com/surf-report/ceper/5842041f4e65fad6a7708f47,,3,"","58f7f157dadb30820bb81b00","58f7f147dadb30820bb80672",""
640a15b44eb375f84a89fedc,"Tarf Entayreft",24.0749,-15.5842,"Africa","Western Sahara","Echdera","",spot,surfline,true,https://www.surfline.com/surf-report/tarf-entayreft/640a15b44eb375c01e89fed6,,3,"","640a0cfde9203003bc915a2a","600750429c05bc5819dbc126",""
6418e6119702722ea3887440,"Sparvasile",39.5724559,15.86746,"Europe","Italy","Calabria","Province of Cosenza",spot,surfline,true,https://www.surfline.com/surf-report/sparvasile/6418e61197027229d088743c,,3,"","640b790bb6d7691a6f8c6ac3","58f834badadb30820bf1b06e",""
640a58dae920304144a40f16,"Praia da Paciência",-22.9925,-44.0864,"South America","Brazil","Rio de Janeiro","Mangaratiba",spot,surfline,true,https://www.surfline.com/surf-report/praia-da-paci-ncia/640a58dae920304105a40f11,,3,"","640a570d606c45f6ceb66324","58f7efffdadb30820bb68b75",""
640f7acfd19c66c2a88824e6,"Playa Centollera",43.5508,-5.6108,"Europe","Spain","Asturias","Asturias",spot,surfline,true,https://www.surfline.com/surf-report/playa-centollera/640f7acfd19c662a828824db,,3,"","640f77136d5ecc11f2695c82","58f7efbddadb30820bb64045",""
640a2d4099dd4468e3fe8319,"Barco Quebrado",9.9268,-82.9938,"North America","Costa Rica","Provincia de Limón","Calle Tranvía",spot,surfline,true,https://www.surfline.com/surf-report/barco-quebrado/640a2d4099dd44ee76fe8314,,3,"","640a2cacb6d769e7544c6167","58f7ef8bdadb30820bb6044c",""
58f83509dadb30820bf1e9f8,"Platja de Xeraco",39.049,-0.193,"Europe","Spain","Valencia","Valencia",spot,surfline,false,https://www.surfline.com/surf-report/platja-de-xeraco/584204204e65fad6a7709499,,3,"","58f83509dadb30820bf1e9f0","58f80901dadb30820bcf6a99",""
58f7f19ddadb30820bb865dc,"Cotovelo",-5.949906,-35.15197,"South America","Brazil","Rio Grande do Norte","Parnamirim",spot,surfline,false,https://www.surfline.com/surf-report/cotovelo/5842041f4e65fad6a7708f90,,3,"","58f7f19ddadb30820bb865c8","58f7f197dadb30820bb85ff5",""
640a1577606c458564a6348b,"Plage Takaouch",31.2793,-9.8008,"Africa","Morocco","Marrakesh-Safi","Essaouira Province",spot,surfline,true,https://www.surfline.com/surf-report/plage-takaouch/640a1576606c4579e4a63479,,3,"","640a0cc999dd440909f69e86","58f7f00ddadb30820bb69c08",""
58f7f074dadb30820bb70b50,"Kisakihama",32.00444235036552,131.4921357579449,"Asia","Japan","Miyazaki","Miyazaki",spot,surfline,false,https://www.surfline.com/surf-report/kisakihama/5842041f4e65fad6a7708dad,,3,"","58f7f06fdadb30820bb7064f","58f7f06fdadb30820bb70671",""
58f833b2dadb30820bf0d6d7,"512 km 812 km",-2.7472,-80.2445,"South America","Ecuador","Provincia del Guayas","Playas",spot,surfline,false,https://www.surfline.com/surf-report/512-km-812-km/584204204e65fad6a7709a01,,3,"","58f833b2dadb30820bf0d6cd","58f833b2dadb30820bf0d6f1",""
